Scientific_Name,Common_Name,Current_Scientific_Name,Threatened_status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Listed_SPRAT_TaxonID,Current_SPRAT_TaxonID,Kingdom,Class,Profile,Family,Genus,Species,State_found
Abutilon julianae,Norfolk Island Abutilon,,Critically Endangered,,,,,,,,,27797,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=27797,Malvaceae,Abutilon,Julianae,External territories
Acacia ammophila,,,Vulnerable,,,,Yes,,,,,3763,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=3763,Fabaceae,Acacia,Ammophila,QLD
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",,Vulnerable,,,,,,,,Yes,8153,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8153,Fabaceae,Acacia,Anomala,WA
Acacia aphylla,Leafless Rock Wattle,,Vulnerable,,,,,,,,Yes,13553,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13553,Fabaceae,Acacia,Aphylla,WA
Acacia aprica,Blunt Wattle,,Endangered,,,,,,,,Yes,64821,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64821,Fabaceae,Acacia,Aprica,WA
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",,Vulnerable,,,,,Yes,,,,20767,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=20767,Fabaceae,Acacia,Araneosa,SA
Acacia aristulata,Watheroo Wattle,,Endangered,,,,,,,,Yes,64822,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64822,Fabaceae,Acacia,Aristulata,WA
Acacia ataxiphylla subsp. magna,Largefruited Tammin Wattle,,Endangered,,,,,,,,Yes,64823,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64823,Fabaceae,Acacia,Ataxiphylla,WA
Acacia attenuata,,,Vulnerable,,,,Yes,,,,,10690,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=10690,Fabaceae,Acacia,Attenuata,QLD
Acacia auratiflora,Orangeflowered Wattle,,Endangered,,,,,,,,Yes,64824,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=64824,Fabaceae,Acacia,Auratiflora,WA
Acacia awestoniana,Stirling Range Wattle,,Vulnerable,,,,,,,,Yes,55562,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55562,Fabaceae,Acacia,Awestoniana,WA
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",,Vulnerable,,,,,,Yes,,,13563,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=13563,Fabaceae,Acacia,Axillaris,TAS
Acacia brachypoda,Western Wheatbelt Wattle,,Endangered,,,,,,,,Yes,55594,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=55594,Fabaceae,Acacia,Brachypoda,WA
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",,Vulnerable,,Yes,,,,,,,8575,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=8575,Fabaceae,Acacia,Bynoeana,NSW
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",,Vulnerable,,,,,,,Yes,,21883,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=21883,Fabaceae,Acacia,Caerulescens,VIC
Acacia carneorum,"Needle Wattle, Dead Finish, Purplewood Wattle",,Vulnerable,,Yes,,,Yes,,,,66685,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=66685,Fabaceae,Acacia,Carneorum,"NSW,SA"
Acacia chapmanii subsp. australis,,,Endangered,,,,,,,,Yes,65249,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=65249,Fabaceae,Acacia,Chapmanii,WA
Acacia cochlocarpa subsp. cochlocarpa,Spiralfruited Wattle,,Endangered,,,,,,,,Yes,23877,,Plantae,Magnoliopsida,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=23877,Fabaceae,Acacia,Cochlocarpa,WA
