Scientific_Name,Latitude,Longitude,State_found,Year,Threatened_status
Pterostylis ziegeleri,-43.47,147.02,TAS,1855,Vulnerable
Pterostylis ziegeleri,-43.47,147.02,TAS,1855,Vulnerable
Prasophyllum spicatum,-43.43,146.97,TAS,1855,Vulnerable
Prasophyllum spicatum,-43.37,147.25,TAS,1921,Vulnerable
Euphrasia phragmostoma,-43.17,147.87,TAS,1892,Vulnerable
Euphrasia phragmostoma,-43.17,147.87,TAS,1892,Vulnerable
Glycine latrobeana,-43.15,147.85,TAS,1892,Vulnerable
Limonium australe var. baudinii,-43.15,147.85,TAS,1892,Vulnerable
Limonium australe var. baudinii,-43.15,147.85,TAS,1893,Vulnerable
Glycine latrobeana,-43.15,147.85,TAS,1892,Vulnerable
Limonium australe var. baudinii,-43.15,147.85,TAS,1892,Vulnerable
Limonium australe var. baudinii,-43.15,147.85,TAS,1893,Vulnerable
Acacia aprica,-29.9,116,WA,1976,Endangered
Acacia aprica,-29.9,116,WA,1973,Endangered
Acacia aprica,-29.9,116,WA,1982,Endangered
Poranthera petalifera,-42.93,146.43,TAS,1984,Vulnerable
Caladenia caudata,-42.87,147.37,TAS,1920,Vulnerable
Caladenia caudata,-42.87,147.37,TAS,1910,Vulnerable
Darwinia polychroma,-29.7,116,WA,2011,Endangered
Caladenia caudata,-42.87,147.37,TAS,1920,Vulnerable
Caladenia caudata,-42.87,147.37,TAS,1910,Vulnerable
Pterostylis arenicola,-42.87,147.27,TAS,1966,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.83,147.32,TAS,1992,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.83,147.33,TAS,2009,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.83,147.33,TAS,2009,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.83,147.32,TAS,1992,Vulnerable
Acacia aristulata,-30.5,116,WA,1986,Endangered
Acacia ataxiphylla subsp. magna,-31.8,117.5,WA,2012,Endangered
Pomaderris pilifera subsp. talpicutica,-42.82,147.32,TAS,2006,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.82,147.32,TAS,2005,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.82,147.32,TAS,2005,Vulnerable
Pomaderris pilifera subsp. talpicutica,-42.82,147.32,TAS,2006,Vulnerable
Ozothamnus reflexifolius,-42.8,147.3,TAS,2001,Vulnerable
Acacia auratiflora,-33.1,118.9,WA,1997,Endangered
Acacia auratiflora,-33.3,118.9,WA,2000,Endangered
Ozothamnus reflexifolius,-42.8,147.3,TAS,2001,Vulnerable
Pterostylis ziegeleri,-42.8,147.3,TAS,1911,Vulnerable
Ozothamnus reflexifolius,-42.79,147.31,TAS,2007,Vulnerable
Ozothamnus reflexifolius,-42.79,147.31,TAS,2007,Vulnerable
Euphrasia phragmostoma,-42.77,147.87,TAS,1893,Vulnerable
Euphrasia phragmostoma,-42.77,147.87,TAS,1893,Vulnerable
Caladenia caudata,-42.75,147.22,TAS,1920,Vulnerable
Caladenia caudata,-42.75,147.22,TAS,1920,Vulnerable
Dichanthium setosum,-42.57,146.87,TAS,1988,Vulnerable
Dichanthium setosum,-42.57,146.87,TAS,1988,Vulnerable
Acacia axillaris,-42.55,146.82,TAS,1975,Vulnerable
Acacia axillaris,-42.55,146.82,TAS,1975,Vulnerable
Acacia axillaris,-42.52,146.83,TAS,1999,Vulnerable
Stenanthemum pimeleoides,-42.52,147.92,TAS,1848,Vulnerable
Acacia axillaris,-42.52,146.83,TAS,1999,Vulnerable
Acacia brachypoda,-32.2,117,WA,1989,Endangered
Acacia brachypoda,-32.2,116.9,WA,1996,Endangered
Acacia brachypoda,-32.3,117,WA,1996,Endangered
Acacia brachypoda,-32.1,116.5,WA,2005,Endangered
Acacia brachypoda,-32.1,116.5,WA,1989,Endangered
Stenanthemum pimeleoides,-42.52,147.92,TAS,1848,Vulnerable
Xerochrysum palustre,-42.21,146.48,TAS,2012,Vulnerable
Xerochrysum palustre,-42.21,146.48,TAS,2012,Vulnerable
Boronia hippopala,-42.2,147.85,TAS,2005,Vulnerable
Conospermum hookeri,-42.2,148.32,TAS,1909,Vulnerable
Stenanthemum pimeleoides,-42.2,148.32,TAS,1914,Vulnerable
Boronia hippopala,-42.2,147.85,TAS,2005,Vulnerable
Conospermum hookeri,-42.2,148.32,TAS,1909,Vulnerable
Stenanthemum pimeleoides,-42.2,148.32,TAS,1914,Vulnerable
Xerochrysum palustre,-42.18,146.49,TAS,2013,Vulnerable
Xerochrysum palustre,-42.18,146.49,TAS,2013,Vulnerable
Stenanthemum pimeleoides,-42.12,148.27,TAS,1989,Vulnerable
Xanthorrhoea arenaria,-42.12,148.28,TAS,1981,Vulnerable
Stenanthemum pimeleoides,-42.12,148.27,TAS,1989,Vulnerable
Xanthorrhoea arenaria,-42.12,148.28,TAS,1981,Vulnerable
Xanthorrhoea arenaria,-42.11,148.27,TAS,2013,Vulnerable
Colobanthus curtisiae,-42.1,146.88,TAS,1913,Vulnerable
Colobanthus curtisiae,-42.1,146.88,TAS,1913,Vulnerable
Stenanthemum pimeleoides,-42.02,147.97,TAS,1952,Vulnerable
Stenanthemum pimeleoides,-42.02,147.97,TAS,1952,Vulnerable
Acacia axillaris,-41.97,147.62,TAS,1989,Vulnerable
